Start     ,Pool      ,End       ,Section   ,Rank,Type,Symbol
0x00100000,          ,0x00100024,          ,m,fs,__ctr_start
0x00100024,0x00100040,0x00100048,0x00100000,O,fs,nninitRegion
0x00100048,          ,0x00100050,0x00100000,U,fs,_printf_percent
0x00100050,          ,0x00100058,0x00100000,U,fs,_printf_p
0x00100058,          ,0x00100060,0x00100000,U,fs,_printf_f
0x00100060,          ,0x00100068,0x00100000,U,fs,_printf_e
0x00100068,          ,0x00100070,0x00100000,U,fs,_printf_g
0x00100070,          ,0x00100078,0x00100000,U,fs,_printf_a
0x00100078,          ,0x00100084,0x00100000,U,fs,_printf_ll
0x00100084,          ,0x0010008C,0x00100000,U,fs,_printf_i
0x0010008C,          ,0x00100094,0x00100000,U,fs,_printf_d
0x00100094,          ,0x0010009C,0x00100000,U,fs,_printf_u
0x0010009C,          ,0x001000A4,0x00100000,U,fs,_printf_o
0x001000A4,          ,0x001000AC,0x00100000,U,fs,_printf_x
0x001000AC,          ,0x001000B4,0x00100000,U,fs,_printf_lli
0x001000B4,          ,0x001000BC,0x00100000,U,fs,_printf_lld
0x001000BC,          ,0x001000C4,0x00100000,U,fs,_printf_llu
0x001000C4,          ,0x001000CC,0x00100000,U,fs,_printf_llo
0x001000CC,          ,0x001000D4,0x00100000,U,fs,_printf_llx
0x001000D4,          ,0x001000E0,0x00100000,U,fs,_printf_l
0x001000E0,          ,0x001000E8,0x00100000,U,fs,_printf_c
0x001000E8,          ,0x001000F0,0x00100000,U,fs,_printf_s
0x001000F0,          ,0x001000F8,0x00100000,U,fs,_printf_lc
0x001000F8,          ,0x00100100,0x00100000,U,fs,_printf_ls
0x00100100,          ,0x00100108,0x00100000,U,fs,_printf_percent_end
0x00100108,0x00100154,0x0010015C,          ,U,f,nnMain
0x0010015C,0x00100188,0x00100190,          ,U,f,nninitCallStaticInitializers
0x00100190,0x001001D4,0x001001DC,          ,U,f,nninitLocale
0x001001DC,          ,0x001001FC,          ,U,f,nninitSetup
0x001001FC,0x00100254,0x0010025C,          ,U,f,_ZN2nn6applet3CTR6detail10InitializeEj
